#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1909.20   -0.210382    0.025755    0.316761    0.021169  -0.0002617   0.0000000    0.227612    0.000000    0.019739    0.000000
   1909.25   -0.111946    0.020247    0.334555    0.014933   0.0000202   0.0000000    0.229254    0.000000    0.019067    0.000000
   1909.30   -0.048961    0.016905    0.365477    0.016356  -0.0001076   0.0000000    0.228697    0.000000    0.018541    0.000000
   1909.35    0.031698    0.016585    0.354426    0.015838  -0.0000930   0.0000000    0.228695    0.000000    0.018113    0.000000
   1909.40    0.150587    0.017710    0.322944    0.018761   0.0001126   0.0000000    0.227936    0.000000    0.018012    0.000000
   1909.45    0.204033    0.015506    0.289758    0.016422  -0.0000053   0.0000000    0.225419    0.000000    0.018767    0.000000
   1909.50    0.260653    0.016205    0.206513    0.015492  -0.0000185   0.0000000    0.221845    0.000000    0.018510    0.000000
   1909.55    0.287896    0.013785    0.107866    0.015220   0.0000061   0.0000000    0.220089    0.000000    0.018414    0.000000
   1909.60    0.317581    0.014360    0.078599    0.016301   0.0001621   0.0000000    0.217528    0.000000    0.018374    0.000000
   1909.65    0.297759    0.016000   -0.000276    0.016578  -0.0002128   0.0000000    0.215686    0.000000    0.018522    0.000000
   1909.70    0.230413    0.020039   -0.081259    0.016228   0.0000259   0.0000000    0.216886    0.000000    0.019066    0.000000
   1909.75    0.189470    0.017806   -0.138553    0.014602   0.0001551   0.0000000    0.217593    0.000000    0.019397    0.000000
   1909.80    0.086783    0.016816   -0.191992    0.016191  -0.0002165   0.0000000    0.219223    0.000000    0.019861    0.000000
   1909.85    0.011911    0.025068   -0.230818    0.018877   0.0002164   0.0000000    0.221710    0.000000    0.021253    0.000000
   1909.90   -0.099787    0.019578   -0.198959    0.015514   0.0000863   0.0000000    0.222673    0.000000    0.022217    0.000000
   1909.95   -0.183708    0.019612   -0.173269    0.021470  -0.0000850   0.0000000    0.223971    0.000000    0.022343    0.000000
   1910.00   -0.230044    0.017877   -0.132305    0.023838   0.0001279   0.0000000    0.225636    0.000000    0.022744    0.000000
   1910.05   -0.309164    0.024311   -0.077640    0.022971   0.0000047   0.0000000    0.224852    0.000000    0.022918    0.000000
   1910.10   -0.333685    0.029342   -0.017760    0.021879  -0.0001290   0.0000000    0.224995    0.000000    0.021981    0.000000
   1910.15   -0.330172    0.018665    0.093096    0.021546   0.0000699   0.0000000    0.226264    0.000000    0.021280    0.000000
   1910.20   -0.355120    0.020046    0.105092    0.017373   0.0001197   0.0000000    0.226241    0.000000    0.020235    0.000000
   1910.25   -0.347409    0.018224    0.227516    0.020893  -0.0002422   0.0000000    0.227662    0.000000    0.019131    0.000000
   1910.30   -0.310530    0.015630    0.324041    0.017846   0.0001370   0.0000000    0.228755    0.000000    0.018832    0.000000
   1910.35   -0.214827    0.017835    0.362050    0.017194   0.0000193   0.0000000    0.227302    0.000000    0.018792    0.000000
   1910.40   -0.110905    0.024320    0.383627    0.022445  -0.0002344   0.0000000    0.227052    0.000000    0.018087    0.000000
   1910.45   -0.041874    0.017915    0.411874    0.019909   0.0001276   0.0000000    0.225142    0.000000    0.018525    0.000000
   1910.50    0.080220    0.014924    0.428808    0.018869  -0.0000377   0.0000000    0.221918    0.000000    0.019209    0.000000
   1910.55    0.180631    0.015935    0.392701    0.016703  -0.0000977   0.0000000    0.218902    0.000000    0.018464    0.000000
   1910.60    0.248579    0.015728    0.340629    0.017805   0.0000476   0.0000000    0.217564    0.000000    0.019081    0.000000
   1910.65    0.297460    0.022574    0.263093    0.020177   0.0000124   0.0000000    0.215739    0.000000    0.018825    0.000000
   1910.70    0.312796    0.016755    0.157802    0.017288  -0.0001455   0.0000000    0.215714    0.000000    0.019024    0.000000
   1910.75    0.310366    0.016244    0.055447    0.017011   0.0000873   0.0000000    0.217351    0.000000    0.020029    0.000000
   1910.80    0.286648    0.016681   -0.049527    0.015753   0.0000514   0.0000000    0.218831    0.000000    0.020223    0.000000
   1910.85    0.216453    0.020002   -0.064796    0.020207  -0.0003165   0.0000000    0.220923    0.000000    0.020601    0.000000
